ts,avg_bwd,msgs,sys_time,mem_usage,mean_size
0,0.00,0,0,4.90,9224299
60000,8.43,45419,123,6.23,8006264
120000,9.35,36666,46,7.43,7949046
180000,10.12,37836,17,8.63,8067868
240000,9.86,37298,14,9.53,7995806
300000,10.21,36843,13,10.73,8047129
360000,10.01,37837,13,11.93,8017546
420000,9.97,37414,15,13.13,8040742
480000,9.69,37957,14,14.33,8004761
540000,10.57,38718,17,2.42,7965837
600000,9.90,38921,13,3.60,7955210
660000,9.61,37082,14,4.77,7978118
720000,10.32,37177,13,5.65,7963670
780000,10.10,39582,13,7.12,7921860
840000,9.93,37842,16,8.30,7956433
900000,9.69,35766,15,9.18,7970887
960000,10.28,38897,13,10.36,7939413
1020000,10.08,39041,14,11.53,7951568
1080000,9.55,37499,12,12.71,7946147
1140000,10.52,39081,14,13.89,7923601
1200000,9.91,37579,12,15.07,7928603
1260000,9.98,38040,14,16.25,7936613
1320000,9.62,36159,17,2.38,7947529
1380000,10.23,38339,13,3.56,7944487
1440000,9.94,36524,12,4.73,7953309
1500000,9.95,36784,12,5.91,7960318
1560000,10.39,37641,12,7.09,7957255
1620000,10.13,39518,13,8.26,7943215
1680000,9.61,37546,12,9.44,7956563
1740000,10.02,35658,13,10.61,7969578
1800000,9.70,36741,14,11.79,7976614
1860000,10.31,36836,12,12.67,7974104
1920000,10.01,38295,13,13.85,7971142
1980000,10.27,38381,12,15.03,7964483
2040000,9.84,38424,14,16.20,7957840
2100000,10.36,39277,14,2.44,7951476
2160000,9.60,38282,13,3.63,7947038
2220000,10.27,37402,17,4.83,7946352
2280000,9.93,39172,15,6.02,7947957
2340000,9.79,36813,12,7.21,7945551
2400000,10.20,39002,13,8.40,7943496
2460000,9.87,38208,12,9.60,7938960
2520000,10.18,38339,12,10.79,7932062
2580000,10.02,39206,13,11.98,7930716
2640000,9.92,36950,13,13.17,7935752
2700000,10.02,38045,15,14.37,7937030
2760000,9.93,37341,13,15.56,7939197
2820000,9.78,38334,13,16.55,7934189
2880000,10.23,37798,14,2.76,7935407
2940000,9.94,36447,13,3.96,7943321
3000000,10.07,37949,13,5.17,7938403
3060000,10.21,39570,13,6.37,7932630
3120000,9.79,38704,14,7.57,7931138
3180000,9.98,37037,13,8.77,7930125
3240000,10.39,37984,15,9.97,7931387
3300000,9.80,39027,13,11.17,7925127
3360000,9.83,38657,13,12.37,7925838
3420000,9.74,37328,12,13.27,7930772
3480000,10.06,34866,12,14.47,7940551
3540000,9.84,36464,12,15.67,7949394
